代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
CCI,Crown Castle,Real Estate,67.84,28.86,27.69,0.53,,-4.9,628.0,-8.39
CSX,CSX Corporation,Industrials,46.78,86.66,27.2,1.69,24.36,10.1,119.0,-5.95
CMI,Cummins,Industrials,525.06,72.28,26.87,1.05,21.11,9.4,169.0,-11.46
CVS,CVS Health,Health Care,89.13,113.99,23.52,0.2,6.21,7.1,313.0,-8.13
DHR,Danaher Corporation,Health Care,224.49,157.81,39.94,1.34,7.61,5.5,72.0,9.03
DRI,Darden Restaurants,Consumer Discretionary,199.75,22.68,19.11,1.85,55.43,5.1,313.0,-5.62
DDOG,Datadog,Information Technology,268.13,96.28,547.2,1.3,4.7,35.6,0.0,10.48
DVA,DaVita,Health Care,178.47,11.39,15.11,0.43,88.48,5.2,0.0,-8.62
DECK,Deckers Brands,Consumer Discretionary,78.67,10.71,11.19,0.96,42.56,5.7,0.0,-12.77
DE,Deere & Company,Industrials,690.46,186.17,38.36,1.61,18.24,4.9,93.0,7.74
DELL,Dell Technologies,Information Technology,562.89,357.89,32.71,0.63,,57.7,47.0,18.33
DAL,Delta Air Lines,Industrials,84.94,55.86,14.09,0.21,20.12,18.7,104.0,1.06
DVN,Devon Energy,Energy,47.05,51.75,10.23,2.92,11.52,64.2,262.0,1.32
DXCM,Dexcom,Health Care,86.62,32.69,34.24,1.34,38.49,13.1,0.0,1.75
FANG,Diamondback Energy,Energy,186.67,52.27,35.56,20.95,3.49,52.5,233.0,-6.08
DLR,Digital Realty,Real Estate,178.61,66.26,87.13,11.69,2.91,29.9,270.0,-4.57
DG,Dollar General,Consumer Staples,124.84,27.54,16.23,1.63,19.69,5.2,193.0,0.37
DLTR,Dollar Tree,Consumer Staples,114.07,21.4,13.98,1.42,46.03,7.0,0.0,-8.76
D,Dominion Energy,Utilities,60.68,53.37,21.0,2.35,8.28,17.6,442.0,-8.71
DPZ,Domino's,Consumer Discretionary,292.14,9.66,16.56,1.34,,4.3,272.0,-12.01
